Modelo	lmk_name	dst_euclidea	Metodo
DID19	TrL	9.21731981443107	DECA
DID19	OL	7.0782502027316365	DECA
DID19	TrR	5.521598466617677	DECA
DID19	OR	8.184344686161296	DECA
DID19	GoR	7.8150329383598836	DECA
DID19	GoL	11.776635175617264	DECA
DID19	FtL	7.257363669748058	DECA
DID19	FtR	13.298900473469212	DECA
DID19	FzgyL	7.697520096120888	DECA
DID19	FzgyR	8.656769696598438	DECA
DID19	EnR	5.846566655596182	DECA
DID19	EnL	2.010766730838099	DECA
DID19	MsoL	6.787810129307013	DECA
DID19	MsoR	4.909108394788063	DECA
DID19	ExR	1.9264551589647656	DECA
DID19	ExL	4.728745527622675	DECA
DID19	Gl	7.374467820197887	DECA
DID19	Na	5.459237262445978	DECA
DID19	Prn	6.918793015290771	DECA
DID19	AlR	2.7092877091089558	DECA
DID19	AlL	3.8377405512337552	DECA
DID19	ChL	8.83595951330131	DECA
DID19	ChR	4.201319381573367	DECA
DID19	St	1.9154181944893092	DECA
DID19	Sbn	3.332141868915087	DECA
DID19	Ls	1.842283931653768	DECA
DID19	Li	5.322092176291723	DECA
DID19	Gn	5.410038830392177	DECA
DID15	TrL	8.412877626904773	DECA
DID15	Gl	2.842218682626157	DECA
DID15	TrR	1.3206332406932644	DECA
DID15	Prn	11.067758628708122	DECA
DID15	Na	4.009881995173119	DECA
DID15	Sbn	9.0732032531317	DECA
DID15	Ls	5.887623859830229	DECA
DID15	St	4.51418691136112	DECA
DID15	Li	8.131557637854897	DECA
DID15	Po	14.363576138749291	DECA
DID15	ChL	8.613079630132798	DECA
DID15	ChR	7.900982436866339	DECA
DID15	EnL	10.820791758715654	DECA
DID15	FzgyR	7.672078396069582	DECA
DID15	FtL	6.565149477820203	DECA
DID15	MsoR	8.895720111744428	DECA
DID15	ZygL	10.353388694583789	DECA
DID15	Sm	16.13325390853863	DECA
DID15	Gn	13.911633572613836	DECA
DID15	Me	16.787613043019284	DECA
DID15	AlR	15.690721588111991	DECA
DID15	AlL	15.00582199140239	DECA
DID15	ExL	12.193250447984472	DECA
DID15	EnR	9.932490331507134	DECA
DID15	ExR	14.96871317595665	DECA
DID15	FzgyL	14.617676905650788	DECA
DID15	FtR	8.902450203340388	DECA
DID15	MsoL	5.809517292473091	DECA
