Modelo	lmk_name	dst_euclidea	Metodo
DID19	TrL	4.0618932073809795	MVF-Net
DID19	OL	5.315526374584389	MVF-Net
DID19	TrR	5.119045966087173	MVF-Net
DID19	OR	4.094287308752647	MVF-Net
DID19	GoR	6.6558426582922365	MVF-Net
DID19	GoL	12.902478441178697	MVF-Net
DID19	FtL	5.8031762415804575	MVF-Net
DID19	FtR	14.018256732593686	MVF-Net
DID19	FzgyL	8.454487409757805	MVF-Net
DID19	FzgyR	10.982273350934154	MVF-Net
DID19	EnR	3.9764926692022313	MVF-Net
DID19	EnL	3.747497946657424	MVF-Net
DID19	MsoL	7.754848746884696	MVF-Net
DID19	MsoR	7.466171089160321	MVF-Net
DID19	ExR	4.71425447926086	MVF-Net
DID19	ExL	5.493822005133926	MVF-Net
DID19	Gl	8.070820259407812	MVF-Net
DID19	Na	5.735511298260802	MVF-Net
DID19	Prn	5.922428742088935	MVF-Net
DID19	AlR	7.10934711015059	MVF-Net
DID19	AlL	5.256960817402261	MVF-Net
DID19	ChL	8.169256317985482	MVF-Net
DID19	ChR	3.6841164807958573	MVF-Net
DID19	St	2.361971153025744	MVF-Net
DID19	Sbn	1.5306667605870288	MVF-Net
DID19	Ls	2.924553026751592	MVF-Net
DID19	Li	4.629577087907213	MVF-Net
DID19	Po	6.0769867613597475	MVF-Net
DID19	Gn	7.528043430871041	MVF-Net
DID19	Me	10.942746333416151	MVF-Net
DID15	TrL	8.208133923316787	MVF-Net
DID15	Gl	1.5557589886293908	MVF-Net
DID15	Prn	7.286485489321752	MVF-Net
DID15	Na	1.6320626294517318	MVF-Net
DID15	Sbn	6.661678404801803	MVF-Net
DID15	Ls	7.808776758650881	MVF-Net
DID15	St	3.8445233611924645	MVF-Net
DID15	Li	5.113589504747552	MVF-Net
DID15	Po	3.5090500595105034	MVF-Net
DID15	ChL	9.827483200727722	MVF-Net
DID15	EnL	4.323955920089596	MVF-Net
DID15	FzgyR	11.81351334630497	MVF-Net
DID15	FtL	5.523405134247583	MVF-Net
DID15	MsoR	6.257709507353275	MVF-Net
DID15	ZygL	4.592549117343059	MVF-Net
DID15	Sm	7.852439760248889	MVF-Net
DID15	Gn	3.5592778637553253	MVF-Net
DID15	Me	2.7667944827774806	MVF-Net
DID15	AlR	4.362955022454388	MVF-Net
DID15	AlL	9.141481766316026	MVF-Net
DID15	ExL	8.838826642713963	MVF-Net
DID15	EnR	3.3101421879692685	MVF-Net
DID15	ExR	8.892918735282173	MVF-Net
DID15	FzgyL	18.91701263009624	MVF-Net
DID15	FtR	7.336436392115634	MVF-Net
DID15	MsoL	1.7915092393971985	MVF-Net
DID15	GoL	10.118777398107849	MVF-Net
DID15	OL	8.794490120891371	MVF-Net
DID2	Sbn	4.253694391405477	MVF-Net
