	dst_euclidea	dst_euclidea	dst_euclidea	dst_euclidea	dst_euclidea	dst_euclidea	dst_euclidea	dst_euclidea
	count	mean	std	min	25%	50%	75%	max
Modelo								
DID1	22.0	4.991784731698176	3.1466039077257526	0.7119764618928166	2.7994516427022784	4.388753727382713	6.360365628105702	11.919621044578653
DID11	27.0	5.617011126805611	3.5245999840890394	1.6328855909172633	3.4526334137374355	4.77945052628938	7.097038599694693	16.73294850539135
DID12	27.0	4.678073709538105	3.2210200107843994	0.5203569097341985	2.1752356268463813	4.21353475986834	6.532468798958442	12.499038249543617
DID13	28.0	5.341366978276491	2.251421985054569	2.4443530458558844	3.5565302671871466	4.788137009888213	6.965349021707752	10.216211551053256
DID14	31.0	7.511298077093545	3.01999434315572	2.3365710805306086	5.2801339729013845	7.233032716267908	9.360143407283992	12.993823875090433
DID15	28.0	6.558633485279103	3.7152033561304023	1.5557589886293908	3.7732119868331795	6.459693956077539	8.80557425134702	18.91701263009624
DID16	32.0	6.249057884791017	2.6200763044992676	2.444292138054869	4.027277826302982	5.84892114328002	8.460731777546915	11.160915785902088
DID17	28.0	6.278307301193288	2.66529524599027	2.39527872885866	3.66556965649249	6.511781039048355	7.6751513933429525	12.522375603418622
DID18	32.0	5.995912617361611	2.326536631053783	2.4768090738415056	4.383827113947106	5.516879122334727	7.123246195888841	12.091674241652008
DID19	30.0	6.350111340248398	2.94811104766986	1.5306667605870288	4.228109753541288	5.76934376992063	7.698147417881282	14.018256732593686
DID2	26.0	5.724214813627049	2.7317123049045753	1.0659973809391416	4.0462072707504655	4.999621154018126	6.889234227661683	13.278444555390015
DID3	28.0	7.307440200443112	3.4069107973435866	2.4416118787127297	4.94890889817755	6.493842047651718	8.735734043600637	16.81976081304587
DID4	30.0	6.897596402710104	3.179188209959906	2.3367565624988305	4.590690430366745	6.110947858149878	8.367359652511757	13.647765734881219
DID6	23.0	6.3778181997398375	3.16970379468868	1.9698996237522048	3.9659501913244393	6.319821947202902	8.330773544267604	14.139995318513085
DID9	28.0	5.4951400588480706	2.57147029313914	1.4271866738767462	3.2800678060371915	5.278824461532011	7.058220418365739	9.677295576567362
