	dst_euclidea	dst_euclidea	dst_euclidea	dst_euclidea	dst_euclidea	dst_euclidea	dst_euclidea	dst_euclidea
	count	mean	std	min	25%	50%	75%	max
Modelo								
DID1	16.0	5.715091319337308	2.913584189221382	0.6308212758420422	3.674140269283842	5.681644093121905	8.125727629214097	9.162921206017504
DID11	27.0	7.022168653547623	4.233723767626346	0.8104751255145966	4.32398268466406	6.66678808064796	8.226667460937943	17.02059384995541
DID12	22.0	3.5560788194254114	2.050900864831326	0.40869894153779385	2.1364186334197366	2.7805949963065455	4.447901630710532	7.990223924027904
DID13	21.0	5.910274398393325	3.745753672462766	1.905222051538651	3.1415482098690526	4.892134990267085	7.197098841095386	15.792205102195602
DID14	22.0	4.648543043550515	2.251193641801766	0.6688769200961856	3.2752006668734532	4.370945081367477	5.395412863748078	11.605617660876785
DID15	25.0	7.596130001866349	4.288044599893737	2.409718867673724	5.12440281113772	6.376680250462879	8.547312743709831	21.102568332686303
DID16	22.0	4.176139848404096	2.29243183864669	1.4280492654372956	2.2357630934121078	3.55814042707641	5.597476289740117	8.75516886056169
DID17	23.0	7.192213387328423	5.136287412655544	1.8381050761906161	4.590187087557476	6.419061019452457	8.486516373348703	27.950109831197306
DID18	22.0	4.886807666326361	2.2577470344623007	0.9925358491108566	3.266907721826607	4.446455245155349	5.963713150168541	9.730945174566132
DID19	20.0	5.698737889334345	3.65944205945691	1.416219469214372	3.615307710869714	5.209849699499799	7.529185917841309	17.74927922063133
DID2	18.0	4.454330226569929	3.719575573831789	0.44315650552513647	2.576626961777472	3.1436351673238585	4.660019651475522	16.405107616309678
DID3	23.0	5.824509955576966	4.091292556199716	1.117070952472529	3.3477303816425104	4.846559686581537	7.071149086723052	17.706302648380618
DID4	20.0	6.799511407515626	3.2534113462658416	2.4022364135797147	4.344303926443338	6.694174510949754	8.131043453425677	14.30708558667653
DID6	19.0	6.2601828052922555	3.3505024717834737	0.7948571707429707	3.5956087140359374	6.249602257533413	8.363749545490105	12.83177771320489
DID9	22.0	5.125623639806116	2.328433079131573	2.5694204397425016	3.532116819238757	4.388201501253006	5.894240359307048	11.025845474695206
